Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
80,23,8,12,8,Some Random Commen with Id 80
81,23,8,24,6,Some Random Commen with Id 81
82,25,7,195,9,Some Random Commen with Id 82
83,25,7,131,0,Some Random Commen with Id 83
84,25,7,59,0,Some Random Commen with Id 84
85,25,7,70,6,Some Random Commen with Id 85
86,25,7,34,0,Some Random Commen with Id 86
87,25,7,13,1,Some Random Commen with Id 87
88,25,7,197,2,Some Random Commen with Id 88
89,26,4,177,0,Some Random Commen with Id 89
90,26,4,7,9,Some Random Commen with Id 90
91,26,4,142,8,Some Random Commen with Id 91
92,26,4,5,0,Some Random Commen with Id 92
93,26,4,37,1,Some Random Commen with Id 93
94,26,4,162,1,Some Random Commen with Id 94
95,26,4,46,8,Some Random Commen with Id 95
96,26,4,153,2,Some Random Commen with Id 96
97,26,4,121,5,Some Random Commen with Id 97
98,27,5,54,7,Some Random Commen with Id 98
99,27,5,132,7,Some Random Commen with Id 99
100,27,5,105,3,Some Random Commen with Id 100
101,27,5,113,9,Some Random Commen with Id 101
102,28,7,92,6,Some Random Commen with Id 102
103,28,7,57,3,Some Random Commen with Id 103
104,28,7,106,1,Some Random Commen with Id 104
105,28,7,199,7,Some Random Commen with Id 105
106,28,7,108,2,Some Random Commen with Id 106
107,28,7,9,8,Some Random Commen with Id 107
108,28,7,121,4,Some Random Commen with Id 108
109,28,7,167,4,Some Random Commen with Id 109
110,28,7,61,4,Some Random Commen with Id 110
111,30,8,38,1,Some Random Commen with Id 111
112,30,8,53,7,Some Random Commen with Id 112
113,30,8,43,5,Some Random Commen with Id 113
114,30,8,36,9,Some Random Commen with Id 114
115,30,8,177,3,Some Random Commen with Id 115
116,30,8,195,2,Some Random Commen with Id 116
117,31,0,173,8,Some Random Commen with Id 117
118,31,0,182,1,Some Random Commen with Id 118
119,31,0,112,4,Some Random Commen with Id 119
120,31,0,107,2,Some Random Commen with Id 120
121,31,0,81,8,Some Random Commen with Id 121
122,31,0,174,6,Some Random Commen with Id 122
123,32,5,108,6,Some Random Commen with Id 123
124,32,5,83,2,Some Random Commen with Id 124
125,32,5,117,2,Some Random Commen with Id 125
126,33,9,173,2,Some Random Commen with Id 126
127,33,9,18,3,Some Random Commen with Id 127
128,33,9,173,4,Some Random Commen with Id 128
129,33,9,169,0,Some Random Commen with Id 129
130,34,6,133,7,Some Random Commen with Id 130
131,34,6,126,0,Some Random Commen with Id 131
132,34,6,60,9,Some Random Commen with Id 132
133,35,1,199,4,Some Random Commen with Id 133
134,35,1,73,4,Some Random Commen with Id 134
135,35,1,98,6,Some Random Commen with Id 135
136,35,1,128,4,Some Random Commen with Id 136
137,35,1,179,0,Some Random Commen with Id 137
138,35,1,135,0,Some Random Commen with Id 138
139,35,1,151,4,Some Random Commen with Id 139
140,35,1,92,9,Some Random Commen with Id 140
141,37,8,35,4,Some Random Commen with Id 141
142,37,8,71,9,Some Random Commen with Id 142
143,37,8,157,5,Some Random Commen with Id 143
144,38,4,126,8,Some Random Commen with Id 144
145,38,4,9,7,Some Random Commen with Id 145
